Date,Adj Close,Close,High,Low,Open,Volume,gap_days,intraday_range,return,volatility_120,log_return,range_pct,close_open_ret,vol_mean,vol_std,ret_mean,ret_std,vol_z,ret_z,vol_ratio,MA_5,MA_20,MA_50,RSI_14,BB_upper,BB_lower,BB_pos,MACD_line,MACD_signal,MACD_hist,ATR_14,return_z,vol_ratio_z,range_pct_z,RSI_14_z
2024-01-15,57759.73046875,67000.0,67500.0,67000.0,67200.0,2336501,3.0,500.0,-0.0029761904761904656,0.014021085409281583,-0.0029806281381377893,0.007462686567164179,-0.002976190476190476,2820507.05,1202783.4486477422,-0.0005363211867549437,0.014021085409281583,-0.40240498033470207,-0.17401429477210043,0.8320587943805009,67540.0,67900.0,68692.0,43.28358208955223,69144.77856834482,66655.22143165518,-0.7230201602817891,-328.9844517253514,-268.2447674335097,-60.739684291841684,792.8571428571429,-0.29746078480651716,-0.6994470421587925,-1.196138930369873,-0.5717697788840277
2024-01-16,58104.5703125,67400.0,67400.0,66700.0,67000.0,2072400,1.0,700.0,0.005970149253731405,0.014027182569058912,0.005952398527295352,0.010385756676557863,0.005970149253731343,2812567.8833333333,1204564.5579413364,-0.0005211480895851902,0.014027182569058912,-0.6144692523564854,0.4627655847037356,0.7335368253431853,67400.0,67920.0,68640.0,45.714285714285715,69115.78206076281,66724.21793923719,-0.43486185071909056,-339.95007822661137,-282.58582959213004,-57.36424863448133,800.0,0.7030287737938081,-0.9796900403348389,-0.530732348280889,-0.1812126765578389
2024-01-17,57845.9375,67100.0,67900.0,67000.0,67500.0,1916400,1.0,900.0,-0.004451038575667643,0.01403167712631793,-0.004460973940625228,0.013412816691505217,-0.005925925925925926,2806865.325,1207192.89177468,-0.0005582400777157539,0.01403167712631793,-0.7376330088317018,-0.27742930961905643,0.6871585459858076,67320.0,67925.0,68562.0,47.05882352941176,69105.3210981495,66744.6789018505,-0.6989623427840284,-368.59893000706506,-299.788449675117,-68.81048033194804,814.2857142857143,-0.4027222899202767,-1.0370004448719519,0.1639601624760841,0.04022803437063442
2024-01-19,58621.81640625,68000.0,68600.0,67400.0,67400.0,2809300,2.0,1200.0,0.013412816691505292,0.014039864939499429,0.013323661198470664,0.01764705882352941,0.008902077151335312,2798427.6416666666,1203572.31652563,-0.0005497723904105106,0.014039864939499429,0.009033406787486433,0.994495968592531,1.0012535895955164,67340.0,67920.0,68506.0,46.26865671641791,69098.0447672666,66741.9552327334,0.06790913403539174,-315.0491821996402,-302.8405961800217,-12.208586019618508,850.0,1.449210748162938,-0.17914136345898674,1.0742153764295008,-0.1902319078603436
2024-01-22,58880.44140625,68300.0,68700.0,68000.0,68000.0,1959800,3.0,700.0,0.004411764705882337,0.014046115241742898,0.004402061400637665,0.010248901903367497,0.004411764705882353,2793631.55,1205774.232218585,-0.0005243455530088842,0.014046115241742898,-0.6915320693707122,0.35142174002829335,0.6955673558269726,67560.0,67945.0,68444.0,55.73770491803279,69133.49750348476,66756.50249651524,0.29869646251600457,-245.57232357902103,-291.38694165982156,45.81461808080053,821.4285714285714,0.48396025226531186,-1.013716867115875,-0.5930007801169431,1.4361688231654681
2024-01-23,58363.1875,67700.0,68300.0,67600.0,68300.0,2252000,1.0,700.0,-0.008784773060029227,0.01394998597568015,-0.008823586658515015,0.0103397341211226,-0.008784773060029283,2785817.2333333334,1206224.1977925089,-0.0007560664879294178,0.01394998597568015,-0.44255225049394925,-0.5755350998987911,0.815376966838959,67700.0,67950.0,68384.0,45.0,69133.21595661994,66766.78404338006,-0.211288563682127,-236.20359020300384,-280.35027136845804,44.1466811654542,807.1428571428571,-0.9058133264463512,-0.6376827193044015,-0.5230378953625355,-0.6377543247093461
2024-01-24,58018.359375,67300.0,68000.0,67200.0,67800.0,2083500,1.0,800.0,-0.005908419497784312,0.013627475454844832,-0.0059259432675471575,0.01188707280832095,-0.007374631268436578,2751982.825,1167570.2652775757,-0.0010719699837442873,0.013627475454844832,-0.5725418374208737,-0.354904290971999,0.7696571867714123,67680.0,67920.0,68338.0,35.08771929824562,69138.4545863295,66701.5454136705,-0.5088412871157563,-258.08046758415,-275.89631061159645,17.81584302744642,792.8571428571429,-0.5528232512048097,-0.7191622081304497,-0.11408353947699679,-2.2706497822207408
2024-01-25,57673.51953125,66900.0,67500.0,66900.0,67400.0,2800500,1.0,600.0,-0.005943536404160454,0.012428849495960924,-0.005961269516499334,0.008968609865470852,-0.00741839762611276,2751006.7916666665,1167479.5850494748,-0.0006047035881458829,0.012428849495960924,0.04239321095386528,-0.42955165059723055,1.0601424897627132,67640.0,67865.0,68302.0,32.786885245901644,69164.83804659214,66565.16195340786,-0.7424001801839863,-304.188215189497,-281.5546915271766,-22.633523662320385,800.0,-0.5060499964467385,0.29750454963507283,-0.8244857089049773,-2.338588620360458
2024-01-26,57759.73046875,67000.0,67500.0,67000.0,67000.0,1675800,1.0,500.0,0.001494768310911887,0.012417650730630055,0.001493652256783372,0.007462686567164179,0.0,2738594.95,1170951.0283203074,-0.0006381608678322696,0.012417650730630055,-0.907633986644639,0.17176591812837488,0.6434175868574388,67440.0,67840.0,68264.0,35.0,69187.74665743663,66492.25334256337,-0.6232625362971795,-328.8687785248476,-291.0175089267108,-37.85126959813681,785.7142857142857,0.30059992754404274,-1.1232041564509871,-1.1107005157553749,-1.7912047264963384
2024-01-29,57759.73046875,67000.0,67300.0,66900.0,67100.0,2153800,3.0,400.0,0.0,0.012172871738735665,0.0,0.005970149253731343,-0.0014903129657228018,2714143.841666667,1151961.7320934534,-0.0008550558450012199,0.012172871738735665,-0.4864257431957893,0.0702427383901796,0.8536811468547061,67180.0,67765.0,68190.0,38.888888888888886,69124.9922600399,66405.0077399601,-0.5625032012884787,-344.4576098727848,-301.7055291159256,-42.75208075685924,750.0,0.06817036547175871,-0.32372662561489035,-1.4877858549832312,-1.1243278025232795
